년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
200101,707021,4.9,-673,214,3.4,-0.1,5.25,5.32,617.91,843.6,0.1223,81.8,28.3,-1.2,0.4,1259
200102,707021,4.9,-533,622,3.6,-0.1,5,5.15,578.1,767.6,-0.2239,76,28,-1.6,1.1,1250.8
200103,707021,4.9,1509,1173,4,0.2,5,5.05,523.22,684.3,-0.1448,70.7,28.7,-9.3,-4.7,1327.5
200104,707021,4.9,-847,909,4.8,0.7,5,5.03,577.36,789.7,0.15,80.7,29.5,-7.8,-4.2,1319.7
200105,707021,4.9,1159,1752,5.3,0.8,5,5.03,612.16,813.5,-0.0027,84.8,29.3,-5.1,-1.4,1282.7
200106,707021,4.9,1364,1213,5,0.2,5,5.03,595.13,768.7,0.024,83,29.3,-8.3,-2.5,1297.5
200107,707021,4.9,-42,284,4.8,0,4.75,4.81,541.55,680.9,-0.0621,78.1,29.9,-8.7,-2.7,1300
200108,707021,4.9,-266,428,4.7,-0.5,4.5,4.61,545.11,618.4,-0.1094,75.7,31.5,-4.3,-1.1,1278
200109,707021,4.9,325,737,3.3,-1.1,4,4.33,479.68,516.4,-0.1698,65.3,31.2,-4.3,-3.4,1309.6
200110,707021,4.9,224,579,3.4,-1.5,4,4.03,537.81,625.5,0.1277,76.2,31.6,-6.4,-2.4,1296.1
200111,707021,4.9,-123,816,3.4,-1.8,4,4.03,643.89,705.2,0.1422,95,33.2,-7.7,-0.7,1273
200112,707021,4.9,69,612,3.2,-2.5,4,4.01,693.7,722.1,0.0103,100.8,32.8,-13,-3.7,1313.5
200201,784741,7.7,-714,56,2.6,-2.6,4,3.98,748.07,773.6,-0.0084,121.1,36,-1.1,-0.1,1314.4
200202,784741,7.7,279,552,2.6,-1.9,4,4.01,819.99,787.1,-0.1047,133.3,36.4,-1.9,-0.8,1323.8
200203,784741,7.7,735,1261,2.3,-1.6,4,4.01,895.58,927.3,0.0658,146.2,35.8,-1,-0.9,1325.9
200204,784741,7.7,-831,625,2.5,-0.8,4,4.01,842.34,733.4,-0.0851,140.5,36.6,2.6,1.5,1294
200205,784741,7.7,624,1475,3,-0.3,4.25,4.25,796.4,697.8,-0.0429,134.3,36.8,6,7.1,1226.3
200206,784741,7.7,551,960,2.6,-0.5,4.25,4.3,742.72,608.5,-0.0944,125.9,36.4,10.1,9.3,1201.3
200207,784741,7.7,-62,363,2.1,-0.7,4.25,4.28,717.99,586.2,-0.0922,121.4,36,9.6,10.6,1188
200208,784741,7.7,-813,1098,2.4,-0.1,4.25,4.29,736.4,591.1,-0.0101,122.5,35.4,11.4,9.3,1201.9
200209,784741,7.7,1631,909,3.1,0.4,4.25,4.3,646.42,467.1,-0.1086,106.8,35.4,7.8,7,1227.8
200210,784741,7.7,876,1268,2.8,1,4.25,4.3,658.92,480.5,0.1345,109,35.3,7.3,7.5,1221.6
200211,784741,7.7,705,1204,3.5,1.6,4.25,4.3,724.8,519,0.1121,123.7,36.3,7.3,8.7,1208.8
200212,784741,7.7,1085,574,3.7,2.2,4.25,4.31,627.55,443.6,-0.0969,107.6,36.3,10.9,10.7,1186.2
200301,837365,3.1,-2193,-175,3.8,2.8,4.25,4.28,591.86,433.9,-0.0109,102.8,36.7,0,10.8,1070.1
200302,837365,3.1,-740,-521,3.9,2.8,4.25,4.3,575.43,417.8,0.0126,97.9,35.9,0.7,-0.6,1193.7
200303,837365,3.1,-144,-491,4.5,3.3,4.25,4.24,535.7,377.7,0.0027,89.9,35.4,-0.4,-5.5,1254.6
200304,837365,3.1,-1008,962,3.7,1.9,4.25,4.24,599.35,428,0.0918,99.1,34.7,-0.7,-2.4,1215.3
200305,837365,3.1,-51,1152,3.2,1,4,4.06,633.42,471.8,0.0899,106.4,35.2,0,-1.6,1205.9
200306,837365,3.1,1097,2228,3,1.1,4,4.01,669.93,497.5,0.0168,115.8,36.1,-0.9,-8.3,1293
200307,837365,3.1,622,534,3.2,1.6,3.75,3.82,713.52,493.3,0.0692,129.9,38.3,-1.3,0.6,1179.7
200308,837365,3.1,972,1834,3,1.8,3.75,3.74,759.47,495.4,0.0435,140.9,39.1,1.3,0.7,1178.2
200309,837365,3.1,3274,2490,3.3,2,3.75,3.74,697.52,448.6,-0.013,132.2,39.8,7.1,3.1,1150.1
200310,837365,3.1,3556,2393,3.7,2.2,3.75,3.74,782.36,463.8,0.0813,156.1,42.2,8.9,0.3,1183.1
200311,837365,3.1,2949,2481,3.4,2.5,3.75,3.77,796.18,458.4,0.0145,156.3,40.7,8.5,-1.3,1202.1
200312,837365,3.1,2975,2105,3.4,3.1,3.75,3.77,810.71,448.7,0.022,161.8,41.2,11,-0.5,1192.6
200401,908439,5.2,2123,2778,3.4,3.7,3.75,3.78,848.5,441.45,0.0313,177.2,43,0.9,1.6,1173.7
200402,908439,5.2,1207,1668,3.3,4.5,3.75,3.75,883.42,428.68,-0.0176,186.2,43.8,-2.2,1.4,1176.2
200403,908439,5.2,1898,2055,3.1,4.5,3.75,3.75,880.5,434.16,-0.0175,189,44.5,2.7,4,1146.6
200404,908439,5.2,544,2653,3.3,5.5,3.75,3.75,862.84,453.47,-0.0371,185.6,44.2,-3,1.6,1173.3
200405,908439,5.2,4341,2939,3.3,6.3,3.75,3.76,803.84,400.92,0.0347,167,43,-2.4,2.8,1160.1
200406,908439,5.2,1887,3113,3.6,6.8,3.75,3.76,785.79,385.18,0.0307,162.9,42.9,-1.7,3.2,1155.5
200407,908439,5.2,2133,2614,4.4,7,3.75,3.76,735.34,331.21,-0.0783,152.9,42.4,-4.3,1.9,1170
200408,908439,5.2,1642,1675,4.8,7.5,3.5,3.6,803.57,355.66,-0.0261,165.6,41.6,-2.6,3.4,1153
