년도/월,경상수지,무역수지,코스피지수,나스닥변동률,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
200101,-673,214,617.91,0.1223,28.3,-1.2,0.4,1259
200102,-533,622,578.1,-0.2239,28,-1.6,1.1,1250.8
200103,1509,1173,523.22,-0.1448,28.7,-9.3,-4.7,1327.5
200104,-847,909,577.36,0.15,29.5,-7.8,-4.2,1319.7
200105,1159,1752,612.16,-0.0027,29.3,-5.1,-1.4,1282.7
200106,1364,1213,595.13,0.024,29.3,-8.3,-2.5,1297.5
200107,-42,284,541.55,-0.0621,29.9,-8.7,-2.7,1300
200108,-266,428,545.11,-0.1094,31.5,-4.3,-1.1,1278
200109,325,737,479.68,-0.1698,31.2,-4.3,-3.4,1309.6
200110,224,579,537.81,0.1277,31.6,-6.4,-2.4,1296.1
200111,-123,816,643.89,0.1422,33.2,-7.7,-0.7,1273
200112,69,612,693.7,0.0103,32.8,-13,-3.7,1313.5
200201,-714,56,748.07,-0.0084,36,-1.1,-0.1,1314.4
200202,279,552,819.99,-0.1047,36.4,-1.9,-0.8,1323.8
200203,735,1261,895.58,0.0658,35.8,-1,-0.9,1325.9
200204,-831,625,842.34,-0.0851,36.6,2.6,1.5,1294
200205,624,1475,796.4,-0.0429,36.8,6,7.1,1226.3
200206,551,960,742.72,-0.0944,36.4,10.1,9.3,1201.3
200207,-62,363,717.99,-0.0922,36,9.6,10.6,1188
200208,-813,1098,736.4,-0.0101,35.4,11.4,9.3,1201.9
200209,1631,909,646.42,-0.1086,35.4,7.8,7,1227.8
200210,876,1268,658.92,0.1345,35.3,7.3,7.5,1221.6
200211,705,1204,724.8,0.1121,36.3,7.3,8.7,1208.8
200212,1085,574,627.55,-0.0969,36.3,10.9,10.7,1186.2
200301,-2193,-175,591.86,-0.0109,36.7,0,10.8,1070.1
200302,-740,-521,575.43,0.0126,35.9,0.7,-0.6,1193.7
200303,-144,-491,535.7,0.0027,35.4,-0.4,-5.5,1254.6
200304,-1008,962,599.35,0.0918,34.7,-0.7,-2.4,1215.3
200305,-51,1152,633.42,0.0899,35.2,0,-1.6,1205.9
200306,1097,2228,669.93,0.0168,36.1,-0.9,-8.3,1293
200307,622,534,713.52,0.0692,38.3,-1.3,0.6,1179.7
200308,972,1834,759.47,0.0435,39.1,1.3,0.7,1178.2
200309,3274,2490,697.52,-0.013,39.8,7.1,3.1,1150.1
200310,3556,2393,782.36,0.0813,42.2,8.9,0.3,1183.1
200311,2949,2481,796.18,0.0145,40.7,8.5,-1.3,1202.1
200312,2975,2105,810.71,0.022,41.2,11,-0.5,1192.6
200401,2123,2778,848.5,0.0313,43,0.9,1.6,1173.7
200402,1207,1668,883.42,-0.0176,43.8,-2.2,1.4,1176.2
200403,1898,2055,880.5,-0.0175,44.5,2.7,4,1146.6
200404,544,2653,862.84,-0.0371,44.2,-3,1.6,1173.3
200405,4341,2939,803.84,0.0347,43,-2.4,2.8,1160.1
200406,1887,3113,785.79,0.0307,42.9,-1.7,3.2,1155.5
200407,2133,2614,735.34,-0.0783,42.4,-4.3,1.9,1170
200408,1642,1675,803.57,-0.0261,41.6,-2.6,3.4,1153
200409,4146,2638,835.09,0.032,41.9,-3.5,3.5,1151.8
200410,2179,2255,834.84,0.0412,41.3,0.8,6.5,1119.6
200411,4145,2765,878.06,0.0617,41.2,3.8,13.8,1048.2
200412,3047,2230,895.92,0.0375,40.5,4.3,15.2,1035.1
200501,1398,3004,932.7,-0.052,40.5,-1,0.9,1025.6
200502,752,2004,1011.36,-0.0052,40.3,-2,2.9,1006
200503,1316,1172,965.68,-0.0256,39.9,-4.3,1.9,1015.5
200504,-1735,1629,911.3,-0.0388,39.7,-2.7,3.2,1002.8
200505,546,1961,970.21,0.0763,39.4,-5.3,2.7,1007.7
200506,959,2419,1008.16,-0.0054,39.1,-6.9,0.9,1025.4
200507,622,1727,1111.29,0.0622,39.3,-8.6,0.8,1026.8
200508,974,1342,1083.33,-0.015,39.6,-7.1,-0.3,1038.5
200509,725,1800,1221.01,-0.0002,39.1,-9.3,-0.6,1041.1
200510,3015,2700,1158.11,-0.0146,38.3,-11.3,-0.5,1040.2
200511,1866,1976,1297.44,0.0531,37.5,-14,0.2,1033.5
200512,1771,1446,1379.37,-0.0123,37.2,-13,2.3,1011.6
200601,-78,169,1399.83,0.0456,38.2,0.3,4.9,964.6
200602,-3245,279,1371.59,-0.0106,37.6,1.4,4.2,970.9
200603,-1625,895,1359.6,0.0256,37.8,0.4,4.1,971.6
200604,-3429,1104,1419.73,-0.0074,37.6,3.2,7.2,943.4
200605,-44,1725,1317.7,-0.0619,37.3,5.2,7,945.6
200606,2190,1926,1295.15,-0.0031,37.2,2.9,6.6,948.9
200607,-698,224,1297.82,-0.0371,36.9,3.1,5.9,955.2
200608,-1541,258,1352.74,0.0441,35.9,0.4,5.2,961.4
200609,3088,2014,1371.41,0.0342,35.5,0,6.9,946.2
200610,2688,2394,1364.55,0.0479,35.4,0.4,7.4,942.3
200611,4456,3837,1432.21,0.0275,34.9,1.5,8.8,929.5
200612,332,1257,1434.46,-0.0068,35.1,-0.7,8.8,929.8
200701,214,533,1360.23,0.0201,37.6,-2.2,-1.2,941
200702,-729,819,1417.34,-0.0194,38,0.4,-1.3,941.8
200703,-1160,1091,1452.55,0.0023,37.6,0.9,-1.2,940.9
200704,-2241,347,1542.24,0.0427,37.4,-0.7,-0.1,930.8
200705,-2295,1183,1700.91,0.0315,36.2,-2.3,0.2,927.7
200706,1582,3492,1743.6,-0.0005,35.6,-3.8,0.6,923.8
200707,2569,984,1933.27,-0.0221,34.6,-0.1,1.1,919.3
200708,2223,1356,1873.24,0.02,33.6,2.2,-0.9,938.3
200709,4313,2130,1946.48,0.0405,33.3,3.1,1.6,915.1
200710,1914,1693,2064.85,0.0583,32.6,3.5,3.2,900.7
200711,3260,1882,1906,-0.0693,32.6,7.6,0.9,921.1
200712,822,-866,1897.13,-0.0033,32.7,5.1,-0.7,936.1
200801,-689,-4043,1624.68,-0.0989,30.9,6.1,-0.8,943.9
200802,-2235,-1446,1711.62,-0.0495,29.5,7.8,-0.3,939
200803,973,-1119,1703.99,0.0034,29.1,13.3,-5.5,990.4
200804,-2387,-410,1825.47,0.0587,29.9,8.8,-6.6,1002.6
200805,-1738,679,1852.02,0.0455,29.8,7.3,-9.1,1030.1
200806,-1143,-569,1674.92,-0.091,29.3,6.7,-10.5,1046
200807,-2262,-1991,1594.67,0.0142,28.6,4.6,-7.5,1012.2
200808,-3845,-3809,1474.24,0.018,28.9,3.6,-14,1089
200809,1469,-2100,1448.06,-0.1164,28,8.3,-22.4,1207
200810,3905,1012,1113.06,-0.1773,28.6,15.2,-27.5,1291
200811,2761,-12,1076.07,-0.1077,27.9,18.5,-36.3,1469
200812,6944,542,1124.47,0.027,27.2,25.3,-25.7,1259.5
200901,176,-3766,1162.11,-0.0638,27,0.9,-8.7,1379.5
200902,5013,2799,1063.03,-0.0668,26.6,-7.6,-17.9,1534
200903,5786,3970,1206.26,0.1094,26.1,-7.9,-9,1383.5
200904,3139,5453,1369.36,0.1235,25.9,-7.4,-1.8,1282
200905,2329,4417,1395.89,0.0332,26.4,-6.6,0.4,1255
200906,4065,6521,1394.53,0.0342,27.3,-5.9,-1.1,1273.9
200907,1988,4228,1557.29,0.0782,28.7,-5.4,2.5,1228.5
200908,1170,1542,1591.85,0.0154,28.9,-2.8,0.8,1248.9
200909,2198,4165,1673.14,0.0564,30.1,0.7,6.9,1178.1
200910,2512,3573,1580.69,-0.0364,30.1,-0.9,6.5,1182.5
200911,3014,4457,1555.6,0.0486,30.6,4.6,8.3,1162.8
200912,1699,3090,1682.77,0.0581,30.5,-2.1,8.2,1164.5
201001,-1776,-801,1602.43,-0.0537,30.2,2.5,0.2,1161.8
201002,-322,1995,1594.58,0.0423,29.8,3.1,0.4,1160
201003,917,1733,1692.85,0.0714,30.3,-1.2,2.9,1131.3
201004,797,3779,1741.56,0.0264,30.8,-2.1,5.1,1108.4
201005,6650,4034,1641.25,-0.0829,29.7,0.6,-3.2,1202.5
201006,3751,6794,1698.29,-0.0655,29.5,4,-4.7,1222.2
201007,3549,5002,1759.33,0.069,29.9,6.6,-1.5,1182.7
201008,3758,1206,1742.75,-0.0624,29.7,9.4,-2.8,1198.1
201009,4207,4409,1872.81,0.1204,29.7,10.5,2.1,1140.2
201010,4265,6339,1882.95,0.0586,29.8,14.2,3.5,1125.3
